,LittleFallsGage
90402,3.88
90952,3.6
96498,4.04
97242,3.57
76043,2.8
89226,6.06
50082,2.79
81057,2.8
35800,2.8
75802,2.8
55811,2.79
25762,2.8
34992,2.8
97240,3.56
41863,2.79
21537,2.8
87850,3.16
77253,2.8
39908,2.79
57598,2.8
49990,2.79
27471,2.8
81829,2.8
31773,2.8
80634,2.8
21088,2.8
22867,2.8
25896,2.8
24149,2.8
42407,2.79
10149,2.94
96711,3.79
32975,2.8
90304,3.99
8577,3.31
83625,2.8
45771,2.8
59625,2.8
47021,2.8
63368,2.79
12518,2.95
57137,2.8
84637,2.79
26137,2.8
42385,2.79
26449,2.8
81342,2.8
45420,2.8
7380,3.2
3614,4.32
89151,5.12
41071,2.79
56818,2.8
26063,2.8
90125,4.14
34572,2.8
59185,2.8
10662,3.57
86226,3.56
53047,2.79
93824,3.71
68648,2.8
18877,2.81
28748,2.8
6405,3.24
65966,2.8
89153,5.19
75117,2.8
9230,3.15
2522,9.93
89610,3.94
16690,3.07
92432,3.93
63262,2.79
35907,2.8
20349,2.8
5637,3.4
62833,2.79
16109,3.54
31898,2.8
68832,2.8
5839,3.49
32593,2.8
97565,3.94
53697,2.79
1164,4.26
72093,2.8
90000,4.17
41044,2.79
36167,2.8
57008,2.8
95035,3.94
35899,2.8
55056,2.79
94746,4.15
57192,2.8
19609,2.8
32109,2.8
39033,2.8
5420,3.57
44287,2.8
27508,2.8
80678,2.8
31804,2.8
69013,2.8
52361,2.79
69362,2.8
71254,2.8
69003,2.8
55433,2.79
54514,2.79
37671,2.8
8241,3.31
44277,2.8
98994,3.63
97154,3.57
28593,2.8
15533,2.83
79297,2.8
30539,2.8
83139,2.8
23355,2.8
75055,2.8
98132,3.98
68089,2.8
60307,2.79
56092,2.8
66458,2.8
2712,6.56
67948,2.8
42168,2.79
12746,2.86
33688,2.8
26825,2.8
74402,2.8
33071,2.8
49000,2.79
1682,3.89
10090,2.96
86066,3.8
52950,2.79
88062,3.2
14181,3.54
38319,2.8
67015,2.8
95345,3.99
16525,3.18
17276,2.94
67574,2.8
18016,2.81
99161,3.52
66924,2.8
86740,3.22
30329,2.8
64213,2.8
91949,3.87
72809,2.8
52648,2.79
54188,2.79
93498,3.52
3140,4.65
48493,2.79
75600,2.8
97024,3.63
9842,2.95
80016,2.8
2013,3.76
75179,2.8
73011,2.8
67008,2.8
55387,2.79
43505,2.79
14551,3.18
16834,2.97
58243,2.8
69852,2.8
14024,3.67
84766,2.8
53995,2.79
82109,2.8
79486,2.8
69948,2.8
50351,2.79
41724,2.79
87534,3.16
55627,2.79
14203,3.5
95081,3.91
33989,2.8
59046,2.8
90479,3.82
61795,2.79
28784,2.8
55705,2.79
83673,2.8
88105,3.17
35603,2.8
12781,2.81
42874,2.79
24688,2.8
86769,3.19
54437,2.79
77988,2.8
57751,2.8
40081,2.79
74606,2.8
95424,4.87
50415,2.79
23486,2.8
4000,4.08
75369,2.8
93453,3.52
48687,2.79
70303,2.8
21099,2.8
91954,3.88
79400,2.8
21485,2.8
32557,2.8
66782,2.8
63040,2.79
55130,2.79
46374,2.8
26912,2.8
46972,2.8
6083,3.37
76749,2.8
17019,3.01
94126,3.93
1793,3.81
76027,2.8
43252,2.79
55501,2.79
65836,2.8
46787,2.8
40906,2.79
78740,2.8
77933,2.8
13182,2.94
35251,2.8
63378,2.79
64044,2.79
13712,3.32
18512,2.8
66374,2.8
14273,3.37
10925,3.08
73004,2.8
44601,2.8
93631,3.45
47599,2.8
70207,2.8
6594,3.1
50479,2.79
95001,3.97
57488,2.8
38352,2.8
41764,2.79
69838,2.8
98614,3.81
39260,2.8
28080,2.8
14543,3.19
56073,2.8
74170,2.8
31909,2.8
23483,2.8
82127,2.8
44901,2.8
22609,2.8
44764,2.8
56850,2.8
84432,2.8
21659,2.8
5531,3.47
81175,2.8
364,4.32
65048,2.8
71345,2.8
21863,2.8
6332,3.3
85076,2.78
1145,4.27
1996,3.75
61060,2.79
93012,3.74
34859,2.8
71813,2.8
48138,2.79
17119,2.96
94435,4.62
20456,2.8
48638,2.79
18644,2.8
19691,2.8
52042,2.79
56685,2.8
7453,3.19
90710,3.64
33558,2.8
85348,3.17
60487,2.79
68843,2.8
84577,2.8
98447,3.77
78798,2.8
25586,2.8
5858,3.47
49489,2.79
2048,4.03
963,4.31
97094,3.59
69483,2.8
74210,2.8
82375,2.8
87882,3.19
18949,2.83
38871,2.8
88416,3.35
27749,2.8
94476,4.65
80519,2.8
61293,2.79
65803,2.8
5306,3.48
90453,3.83
78893,2.8
38897,2.8
2959,5.13
54244,2.79
81783,2.8
77412,2.8
67635,2.8
86176,3.62
68405,2.8
85555,4.32
76971,2.8
44641,2.8
44309,2.8
18289,2.81
96913,3.7
25215,2.8
95667,5.85
52437,2.79
37001,2.8
57946,2.8
14059,3.54
38248,2.8
24684,2.8
80455,2.8
74776,2.8
84769,2.8
29345,2.8
94252,4.24
32008,2.8
41021,2.79
5058,3.71
5262,3.49
49274,2.79
89444,4.13
35650,2.8
36958,2.8
20975,2.8
26529,2.8
35697,2.8
94314,4.19
19163,2.8
7866,3.08
32766,2.8
5743,3.49
11222,3.39
18010,2.8
80283,2.8
71394,2.8
65892,2.8
73676,2.8
10549,3.0
6397,3.26
43012,2.79
40096,2.79
18788,2.82
34291,2.8
32457,2.8
82156,2.8
55437,2.79
93165,3.65
25582,2.8
36401,2.8
54134,2.79
595,4.03
26408,2.8
59234,2.8
15388,2.79
72852,2.8
24852,2.8
51178,2.79
4783,3.94
92542,3.88
87730,3.17
27582,2.8
7597,3.28
34880,2.8
14346,3.35
89348,6.01
14886,2.94
92468,3.92
72016,2.8
30098,2.8
51064,2.79
68798,2.8
33367,2.8
853,4.21
57150,2.8
72616,2.8
93963,3.57
23361,2.8
40257,2.79
36280,2.8
29339,2.8
53340,2.79
80183,2.8
6068,3.38
15141,2.84
59546,2.8
63441,2.79
90176,4.14
5051,3.71
82303,2.8
75063,2.8
54386,2.79
48177,2.79
18390,2.8
48342,2.79
71508,2.8
27607,2.8
7409,3.2
57370,2.8
75863,2.8
38499,2.8
28058,2.8
54540,2.79
74838,2.8
14159,3.64
32165,2.8
7553,3.51
31053,2.8
86470,3.34
65684,2.8
3716,4.18
30462,2.8
10733,3.15
80920,2.8
83694,2.8
98274,3.84
53383,2.79
40780,2.79
61093,2.79
48604,2.79
67080,2.8
29613,2.8
73868,2.8
72874,2.8
28151,2.8
83584,2.8
68220,2.8
88868,4.38
11666,3.0
30803,2.8
21042,2.8
44195,2.8
60239,2.79
43809,2.8
36768,2.8
80410,2.8
87502,3.19
36539,2.8
39214,2.8
618,4.06
47685,2.8
46287,2.8
37816,2.8
8480,3.24
24056,2.8
59749,2.8
40069,2.79
13901,3.7
18693,2.81
64492,2.8
36046,2.8
24191,2.8
14399,3.31
58043,2.8
20408,2.8
92513,3.9
74514,2.8
31060,2.8
6739,3.37
9664,3.01
17491,2.87
66330,2.8
12740,2.87
20880,2.8
77335,2.8
8468,3.22
65387,2.8
4534,4.36
2475,10.05
75757,2.8
79833,2.8
20034,2.8
53339,2.79
26911,2.8
23674,2.8
12484,2.97
92606,3.87
55082,2.79
23197,2.8
11637,3.03
51034,2.79
37217,2.8
32551,2.8
61651,2.79
78461,2.8
17290,2.94
44852,2.8
45756,2.8
66985,2.8
79678,2.8
82000,2.8
29867,2.8
14462,3.28
44046,2.8
3937,4.18
40966,2.79
3163,4.62
57351,2.8
18689,2.81
4657,4.19
78761,2.8
20641,2.8
71582,2.8
49870,2.79
32760,2.8
89597,3.94
7696,3.23
81552,2.8
60813,2.79
78484,2.8
92418,3.93
86136,3.7
63301,2.79
15788,2.97
51867,2.79
45882,2.8
41280,2.79
78557,2.8
51435,2.79
79665,2.8
77885,2.8
97982,4.17
45740,2.8
43634,2.79
63851,2.79
523,4.06
53896,2.79
86277,3.5
37320,2.8
56064,2.8
25338,2.8
10772,3.13
79562,2.8
40045,2.79
59379,2.8
12292,2.93
68905,2.8
28354,2.8
71517,2.8
89815,3.99
26188,2.8
24442,2.8
88206,3.16
15737,2.95
96867,3.71
43736,2.8
47939,2.79
24577,2.8
51818,2.79
16033,3.45
10730,3.15
31386,2.8
9266,3.14
19461,2.8
35341,2.8
64852,2.8
96227,4.33
67613,2.8
135,4.78
90609,3.71
58627,2.8
33406,2.8
81120,2.8
75377,2.8
58601,2.8
93476,3.53
40676,2.79
38279,2.8
83706,2.8
69873,2.8
42448,2.79
28432,2.8
79541,2.8
2476,10.06
95442,4.86
96937,3.67
65187,2.8
84064,2.8
44133,2.8
27077,2.8
15251,2.82
93634,3.45
21152,2.8
38124,2.8
69741,2.8
32817,2.8
77295,2.8
56711,2.8
30712,2.8
84992,2.78
42289,2.79
89131,4.56
91092,3.56
20733,2.8
59058,2.8
76211,2.8
12726,2.87
32382,2.8
49250,2.79
88346,3.15
39310,2.8
19497,2.8
27382,2.8
84790,2.81
76461,2.8
15620,2.82
22391,2.8
50753,2.79
10748,3.14
51711,2.79
31524,2.8
25257,2.8
95167,3.83
11014,3.09
51197,2.79
67343,2.8
19134,2.8
48194,2.79
96617,3.85
21732,2.8
13996,3.74
77154,2.8
66778,2.8
90018,4.16
67850,2.8
48104,2.79
55344,2.79
22537,2.8
84167,2.8
8560,3.21
39873,2.79
81223,2.8
56910,2.8
49314,2.79
38039,2.8
90787,3.62
93246,3.58
11087,3.49
4499,4.17
54204,2.79
42952,2.79
30224,2.8
3946,4.16
74094,2.8
49163,2.79
92976,3.74
44498,2.8
76923,2.8
37887,2.8
46057,2.8
19984,2.8
84649,2.79
77625,2.8
25395,2.8
45857,2.8
48581,2.79
76039,2.8
24429,2.8
26287,2.8
31770,2.8
21875,2.8
19534,2.8
16309,3.51
66890,2.8
11420,3.25
56542,2.8
90985,3.6
19792,2.8
31072,2.8
62413,2.79
75390,2.8
80317,2.8
78064,2.8
23094,2.8
37602,2.8
62728,2.79
22850,2.8
58886,2.8
14993,2.89
51495,2.79
89093,3.89
33115,2.8
69632,2.8
57139,2.8
71685,2.8
92435,3.94
5116,3.61
3683,4.23
23267,2.8
48008,2.79
65043,2.8
85373,3.32
48854,2.79
36929,2.8
44020,2.8
98089,4.01
57961,2.8
85441,4.35
81114,2.8
70773,2.8
81013,2.8
25436,2.8
61366,2.79
13415,2.78
30963,2.8
82117,2.8
67040,2.8
17441,2.89
80388,2.8
82743,2.8
8701,3.25
79911,2.8
90779,3.62
44092,2.8
73881,2.8
91446,3.46
27653,2.8
59747,2.8
77967,2.8
61511,2.79
63825,2.79
3823,4.32
34028,2.8
73579,2.8
12839,2.78
47003,2.8
50689,2.79
93645,3.46
64162,2.8
48022,2.79
51931,2.79
511,4.08
18766,2.82
32900,2.8
18798,2.82
20758,2.8
88030,3.17
54705,2.79
53393,2.79
71181,2.8
75664,2.8
91925,3.82
54308,2.79
53418,2.79
25344,2.8
67081,2.8
60179,2.79
85351,3.17
49675,2.79
92592,3.87
32645,2.8
29265,2.8
27549,2.8
85851,4.09
48876,2.79
16153,3.66
29614,2.8
16046,3.47
82330,2.8
30629,2.8
56195,2.8
31841,2.8
14561,3.17
79395,2.8
37297,2.8
81161,2.8
24069,2.8
63833,2.79
94879,3.98
78133,2.8
47283,2.8
33850,2.8
59789,2.8
89315,6.2
63880,2.79
50478,2.79
14692,3.05
36392,2.8
18490,2.81
98149,3.95
94808,4.08
69526,2.8
31349,2.8
53201,2.79
89293,6.48
84927,2.79
43668,2.79
83687,2.8
32685,2.8
81312,2.8
96718,3.79
97812,4.57
58272,2.8
54026,2.79
20696,2.8
96650,3.83
91284,3.5
89892,4.12
87442,3.16
95185,3.83
59903,2.8
24404,2.8
87735,3.16
15989,3.3
28904,2.8
3945,4.15
5984,3.44
69789,2.8
51371,2.79
95554,4.72
70709,2.8
50410,2.79
55525,2.79
80401,2.8
97556,3.91
24626,2.8
77870,2.8
60977,2.79
3892,4.34
83047,2.8
64778,2.8
2864,5.53
93073,3.71
68582,2.8
77575,2.8
51137,2.79
7892,3.16
29271,2.8
15429,2.81
73771,2.8
15713,2.95
75160,2.8
4775,3.95
88940,4.16
45615,2.8
81106,2.8
2579,8.68
32290,2.8
87718,3.18
63364,2.79
26293,2.8
39574,2.8
16098,3.51
44865,2.8
31247,2.8
85600,4.45
8855,3.11
41123,2.79
47649,2.8
38608,2.8
41895,2.79
57331,2.8
52044,2.79
79570,2.8
65154,2.8
22482,2.8
78209,2.8
19483,2.8
56333,2.8
36371,2.8
51836,2.79
12571,2.98
62859,2.79
75387,2.8
24144,2.8
28775,2.8
97109,3.58
18699,2.82
96273,4.23
11267,3.41
64215,2.8
19699,2.8
40157,2.79
21266,2.8
20891,2.8
20984,2.8
25630,2.8
1247,4.26
89234,6.0
68922,2.8
26200,2.8
56536,2.8
87707,3.18
67101,2.8
69963,2.8
14854,2.95
12019,2.96
68705,2.8
46161,2.8
14652,3.1
24618,2.8
11384,3.3
37090,2.8
11309,3.38
79350,2.8
9580,2.95
62429,2.79
24922,2.8
68187,2.8
50462,2.79
69153,2.8
39458,2.8
