,SenecaGage,PointofRocksGage,EdwardsGage,ShhepardstownGage,HancockGage,SpringfieldGage,SpringfieldGage_extrashift1,SpringfieldGage_extrashift2,SpringfieldGage_extrashift3
74,2.34,5.26,7.86,5.81,7.43,3.95,3.96,3.96,3.96
75,2.34,5.25,7.85,5.81,7.43,3.95,3.95,3.96,3.96
85,2.33,5.2,7.78,5.74,7.37,3.91,3.92,3.92,3.93
88,2.32,5.18,7.77,5.72,7.35,3.9,3.91,3.91,3.91
94,2.33,5.14,7.73,5.69,7.32,3.88,3.88,3.89,3.89
96,2.33,5.12,7.72,5.67,7.31,3.87,3.87,3.88,3.88
112,2.31,5.04,7.62,5.54,7.23,3.81,3.81,3.81,3.82
123,2.29,4.93,7.56,5.51,7.17,3.77,3.77,3.77,3.78
126,2.3,4.91,7.54,5.51,7.16,3.75,3.76,3.76,3.77
127,2.3,4.9,7.53,5.5,7.15,3.75,3.75,3.76,3.76
128,2.29,4.89,7.53,5.5,7.15,3.75,3.75,3.75,3.76
130,2.29,4.88,7.52,5.49,7.14,3.74,3.75,3.75,3.75
132,2.29,4.86,7.49,5.5,7.13,3.73,3.74,3.74,3.75
137,2.3,4.86,7.45,5.49,7.1,3.72,3.72,3.73,3.73
141,2.31,4.83,7.43,5.47,7.08,3.7,3.71,3.71,3.71
142,2.31,4.83,7.42,5.47,7.08,3.7,3.7,3.71,3.71
147,2.31,4.81,7.4,5.43,7.05,3.69,3.69,3.69,3.69
149,2.31,4.81,7.38,5.42,7.03,3.68,3.68,3.69,3.69
153,2.31,4.79,7.37,5.4,7.01,3.67,3.67,3.67,3.67
162,2.27,4.7,7.32,5.35,6.93,3.64,3.64,3.65,3.65
167,2.25,4.69,7.29,5.32,6.9,3.62,3.63,3.63,3.63
176,2.24,4.68,7.24,5.28,6.83,3.59,3.6,3.6,3.6
183,2.25,4.65,7.2,5.24,6.8,3.57,3.57,3.57,3.58
184,2.25,4.64,7.2,5.24,6.78,3.57,3.57,3.57,3.57
200,2.3,4.59,7.13,5.15,6.71,3.51,3.51,3.51,3.52
203,2.3,4.59,7.11,5.13,6.7,3.5,3.5,3.51,3.51
208,2.28,4.55,7.09,5.12,6.68,3.48,3.49,3.49,3.49
221,2.3,4.45,7.04,5.05,6.63,3.45,3.45,3.45,3.45
223,2.29,4.44,7.02,5.05,6.62,3.44,3.44,3.45,3.45
234,2.3,4.39,6.96,5.0,6.59,3.41,3.42,3.42,3.42
239,2.3,4.37,6.93,4.99,6.57,3.4,3.4,3.41,3.41
246,2.3,4.34,6.89,4.96,6.54,3.38,3.39,3.39,3.39
247,2.3,4.34,6.89,4.96,6.54,3.38,3.38,3.39,3.39
249,2.29,4.32,6.88,4.95,6.53,3.37,3.38,3.38,3.38
254,2.27,4.28,6.85,4.93,6.51,3.36,3.37,3.37,3.37
258,2.26,4.25,6.84,4.92,6.49,3.35,3.35,3.36,3.36
262,2.25,4.24,6.81,4.91,6.48,3.35,3.35,3.35,3.35
263,2.24,4.24,6.81,4.91,6.47,3.34,3.35,3.35,3.35
277,2.23,4.22,6.73,4.86,6.43,3.3,3.31,3.31,3.31
281,2.24,4.2,6.71,4.85,6.42,3.3,3.3,3.3,3.3
283,2.25,4.2,6.71,4.84,6.4,3.29,3.29,3.3,3.3
286,2.27,4.19,6.7,4.83,6.38,3.29,3.29,3.29,3.29
294,2.28,4.19,6.67,4.81,6.33,3.27,3.27,3.27,3.27
302,2.28,4.18,6.64,4.78,6.26,3.25,3.25,3.25,3.26
304,2.28,4.18,6.64,4.77,6.25,3.25,3.25,3.25,3.25
329,2.27,4.02,6.57,4.66,6.13,3.2,3.2,3.2,3.2
331,2.28,4.01,6.56,4.65,6.12,3.19,3.19,3.2,3.2
332,2.28,4.01,6.56,4.65,6.12,3.19,3.19,3.19,3.2
333,2.28,4.0,6.55,4.65,6.11,3.19,3.19,3.19,3.19
340,2.27,3.98,6.52,4.62,6.09,3.17,3.17,3.17,3.18
341,2.27,3.98,6.51,4.61,6.09,3.17,3.17,3.17,3.17
346,2.26,3.96,6.49,4.58,6.08,3.15,3.16,3.16,3.16
