,SenecaGage,PointofRocksGage,EdwardsGage,ShhepardstownGage,HancockGage,SpringfieldGage,SpringfieldGage_extrashift1,SpringfieldGage_extrashift2,SpringfieldGage_extrashift3
90402,2.26,3.07,5.39,3.87,5.11,2.39,2.39,2.4,2.4
90952,2.26,2.47,4.69,3.24,4.43,2.07,2.07,2.07,2.07
96498,2.27,3.36,5.74,4.12,5.41,2.57,2.57,2.57,2.57
97242,2.18,2.45,4.59,3.21,4.47,2.33,2.33,2.33,2.33
76043,2.03,1.01,2.92,1.94,2.87,1.24,1.24,1.24,1.24
89226,3.43,5.36,9.91,6.31,5.86,2.52,2.52,2.51,2.5
50082,2.04,1.01,2.92,1.94,2.86,1.25,1.24,1.24,1.25
81057,2.04,1.02,2.92,1.93,2.86,1.24,1.24,1.24,1.24
35800,2.04,1.01,2.93,1.94,2.86,1.24,1.25,1.25,1.24
75802,2.03,1.02,2.92,1.93,2.87,1.24,1.24,1.24,1.24
55811,2.03,1.01,2.92,1.94,2.86,1.24,1.24,1.24,1.24
25762,2.04,1.01,2.93,1.94,2.87,1.25,1.24,1.24,1.25
34992,2.04,1.01,2.93,1.94,2.87,1.24,1.25,1.25,1.24
97240,2.18,2.44,4.6,3.21,4.47,2.33,2.33,2.33,2.33
41863,2.04,1.01,2.92,1.94,2.86,1.25,1.25,1.24,1.24
21537,2.04,1.01,2.93,1.94,2.87,1.24,1.24,1.25,1.25
87850,2.16,1.66,3.78,2.47,3.79,1.75,1.75,1.75,1.75
77253,2.04,1.02,2.92,1.94,2.86,1.24,1.24,1.24,1.24
39908,2.04,1.01,2.93,1.94,2.86,1.24,1.25,1.25,1.24
57598,2.03,1.01,2.92,1.94,2.86,1.24,1.24,1.24,1.24
49990,2.04,1.01,2.93,1.94,2.86,1.25,1.24,1.24,1.25
27471,2.04,1.01,2.93,1.93,2.87,1.25,1.25,1.24,1.24
81829,2.03,1.01,2.92,1.93,2.86,1.24,1.24,1.24,1.24
31773,2.04,1.01,2.93,1.94,2.86,1.24,1.24,1.25,1.25
80634,2.04,1.01,2.92,1.94,2.87,1.24,1.24,1.24,1.24
21088,2.04,1.01,2.93,1.94,2.87,1.24,1.25,1.25,1.24
22867,2.04,1.01,2.93,1.93,2.87,1.25,1.25,1.24,1.24
25896,2.04,1.01,2.93,1.94,2.86,1.24,1.25,1.25,1.24
24149,2.04,1.01,2.93,1.93,2.87,1.24,1.24,1.25,1.25
42407,2.04,1.01,2.93,1.94,2.86,1.25,1.25,1.24,1.24
10149,2.03,1.36,3.22,2.12,3.05,1.56,1.56,1.56,1.56
96711,2.22,2.87,5.18,3.6,4.85,2.3,2.3,2.31,2.31
32975,2.04,1.01,2.93,1.93,2.87,1.25,1.25,1.24,1.24
90304,2.26,3.27,5.65,4.11,5.38,2.5,2.5,2.5,2.5
8577,2.23,1.71,3.63,2.19,3.07,1.41,1.41,1.4,1.4
83625,2.03,1.02,2.92,1.93,2.87,1.24,1.24,1.24,1.24
45771,2.04,1.01,2.93,1.94,2.86,1.25,1.25,1.24,1.24
59625,2.03,1.01,2.92,1.94,2.87,1.24,1.24,1.24,1.24
47021,2.04,1.01,2.93,1.94,2.86,1.24,1.24,1.25,1.25
63368,2.03,1.01,2.92,1.94,2.87,1.24,1.24,1.24,1.24
12518,1.99,1.52,3.39,2.14,2.95,1.29,1.29,1.29,1.29
57137,2.03,1.01,2.93,1.94,2.86,1.24,1.24,1.24,1.24
84637,2.03,1.02,2.92,1.93,2.87,1.24,1.24,1.24,1.24
26137,2.04,1.01,2.93,1.93,2.86,1.24,1.24,1.25,1.25
42385,2.04,1.01,2.92,1.94,2.86,1.24,1.24,1.25,1.25
26449,2.04,1.01,2.93,1.93,2.87,1.24,1.24,1.25,1.25
81342,2.04,1.02,2.92,1.94,2.86,1.24,1.24,1.24,1.24
45420,2.04,1.01,2.92,1.94,2.86,1.24,1.25,1.25,1.24
7380,2.06,1.82,3.84,2.38,3.47,1.73,1.73,1.73,1.73
3614,2.22,3.88,6.47,4.37,5.61,3.05,3.05,3.05,3.05
89151,6.88,4.8,7.39,3.58,4.55,2.29,2.29,2.29,2.29
41071,2.04,1.01,2.92,1.94,2.86,1.25,1.25,1.24,1.24
56818,2.03,1.01,2.92,1.94,2.86,1.24,1.24,1.24,1.24
26063,2.04,1.01,2.93,1.93,2.87,1.25,1.25,1.24,1.24
90125,2.29,3.7,6.05,4.61,5.94,2.71,2.71,2.71,2.71
34572,2.04,1.01,2.93,1.93,2.86,1.24,1.25,1.25,1.24
59185,2.03,1.01,2.93,1.94,2.86,1.24,1.24,1.24,1.24
10662,2.31,1.5,3.53,2.23,3.25,1.5,1.5,1.5,1.5
86226,2.15,2.46,4.63,2.94,4.11,2.19,2.19,2.19,2.2
53047,2.03,1.01,2.93,1.94,2.87,1.24,1.24,1.24,1.24
93824,2.58,2.26,4.71,2.79,4.07,1.89,1.89,1.89,1.89
68648,2.04,1.02,2.92,1.93,2.87,1.24,1.24,1.24,1.24
18877,2.05,1.12,2.92,1.88,2.87,1.21,1.21,1.21,1.21
28748,2.04,1.01,2.93,1.93,2.86,1.24,1.25,1.25,1.24
6405,2.06,1.77,3.85,2.44,3.46,1.73,1.73,1.73,1.73
65966,2.03,1.01,2.93,1.94,2.86,1.24,1.24,1.24,1.24
89153,6.89,4.99,7.56,3.6,4.55,2.29,2.29,2.29,2.29
75117,2.04,1.01,2.92,1.93,2.87,1.24,1.24,1.24,1.24
9230,2.1,1.73,3.68,2.3,3.4,1.46,1.47,1.47,1.47
2522,2.89,17.55,17.94,19.06,20.78,12.69,12.76,12.88,12.94
89610,2.28,3.17,5.54,3.69,4.58,2.24,2.24,2.24,2.24
16690,2.01,1.52,3.5,2.12,3.2,1.44,1.44,1.44,1.44
92432,2.28,3.17,5.56,4.04,5.1,2.29,2.29,2.29,2.29
63262,2.03,1.01,2.92,1.94,2.86,1.24,1.24,1.24,1.24
35907,2.04,1.01,2.93,1.94,2.86,1.25,1.25,1.24,1.24
20349,2.04,1.01,2.93,1.93,2.86,1.24,1.24,1.25,1.25
5637,2.22,2.17,4.22,2.83,3.88,2.09,2.07,2.06,2.05
62833,2.03,1.01,2.92,1.94,2.86,1.24,1.24,1.24,1.24
16109,2.28,2.86,4.88,3.39,4.93,2.57,2.57,2.57,2.58
