,LittleFallsGage
74,4.96
75,4.97
85,4.93
88,4.93
94,4.91
96,4.9
112,4.86
123,4.82
126,4.81
127,4.81
128,4.81
130,4.8
132,4.8
137,4.79
141,4.78
142,4.77
147,4.75
149,4.75
153,4.75
162,4.71
167,4.7
176,4.68
183,4.67
184,4.67
200,4.63
203,4.63
208,4.63
221,4.59
223,4.58
234,4.57
239,4.55
246,4.54
247,4.54
249,4.53
254,4.52
258,4.51
262,4.5
263,4.5
277,4.47
281,4.46
283,4.45
286,4.44
294,4.43
302,4.42
304,4.41
329,4.38
331,4.38
332,4.38
333,4.38
340,4.37
341,4.37
346,4.35
348,4.35
349,4.35
351,4.35
356,4.33
359,4.33
369,4.31
370,4.31
386,4.28
390,4.26
393,4.25
395,4.26
397,4.25
404,4.24
407,4.24
411,4.23
415,4.22
419,4.22
423,4.22
425,4.22
428,4.22
434,4.2
439,4.2
450,4.18
459,4.16
461,4.15
467,4.14
473,4.14
478,4.14
480,4.14
484,4.14
487,4.12
496,4.12
497,4.11
499,4.1
501,4.1
504,4.1
506,4.09
508,4.09
512,4.08
517,4.07
524,4.06
528,4.05
537,4.04
538,4.04
539,4.04
545,4.03
556,4.02
560,4.01
562,4.02
574,4.02
575,4.02
576,4.01
583,4.02
584,4.02
592,4.03
593,4.03
602,4.04
604,4.06
607,4.06
610,4.07
612,4.06
613,4.06
616,4.07
619,4.06
620,4.06
626,4.06
629,4.05
638,4.05
639,4.05
642,4.06
646,4.08
650,4.08
652,4.09
655,4.09
668,4.13
672,4.13
679,4.13
680,4.12
682,4.13
689,4.14
704,4.15
706,4.15
716,4.15
718,4.16
726,4.16
730,4.16
732,4.16
741,4.17
755,4.21
774,4.23
781,4.23
782,4.23
787,4.22
789,4.22
790,4.22
792,4.22
817,4.19
818,4.19
820,4.19
823,4.19
824,4.19
828,4.19
833,4.19
845,4.2
861,4.22
862,4.22
869,4.24
874,4.24
875,4.25
884,4.26
887,4.27
888,4.27
890,4.27
898,4.29
903,4.29
904,4.29
907,4.3
908,4.3
910,4.31
912,4.31
920,4.32
926,4.32
930,4.32
936,4.32
939,4.32
944,4.33
945,4.32
947,4.31
948,4.32
958,4.31
961,4.31
965,4.3
978,4.3
982,4.3
984,4.3
987,4.3
990,4.3
993,4.3
994,4.3
1002,4.29
1004,4.3
1005,4.29
1006,4.29
1009,4.3
1015,4.3
1021,4.29
1027,4.29
1035,4.28
1039,4.28
1041,4.28
1049,4.27
1053,4.28
1055,4.28
1065,4.27
1067,4.26
1068,4.26
1074,4.26
1077,4.26
1094,4.26
1098,4.26
1100,4.26
1105,4.26
1109,4.26
1119,4.26
1122,4.26
1125,4.26
1127,4.26
1134,4.27
1136,4.27
1138,4.27
1140,4.27
1141,4.27
1143,4.27
1149,4.27
1150,4.27
1153,4.26
1156,4.26
1160,4.26
1177,4.26
1178,4.26
1179,4.26
1180,4.26
1184,4.26
1204,4.26
1205,4.26
1209,4.26
1213,4.26
